"|","item","counts"
"","dynamic program","600.0"
"224","flash memory","2900.0"
"","nand flash","1400.0"
"","flash","1007.0"
"","data centers","1000.0"
"","based storage","800.0"
"","page replacement","700.0"
"","data center","687.0"
"","energy efficiency","661.0"
"","storage device","600.0"
"","memory management","547.0"
"225","data governance","600.0"
"","data quality","600.0"
"","return investment","500.0"
"","quality management","400.0"
"","system administrators","400.0"
"","improve quality","300.0"
"","service quality","300.0"
"","customer service","266.0"
"","customer satisfaction","204.0"
"","information systems","193.0"
"226","object oriented","2367.0"
"","language constructs","800.0"
"","type system","776.0"
"","oriented programming","593.0"
"","object oriented programming","587.0"
"","extension java","500.0"
"","featherweight java","500.0"
"","language extension","500.0"
"","multiple inheritance","500.0"
"","predicate dispatch","500.0"
"227","wait free","1400.0"
"","byzantine agreement","600.0"
"","italicn italic","563.0"
"","consensus","415.0"
"","shared memory","325.0"
"","mutual exclusion","324.0"
"","asynchronous","316.0"
"","asynchronous shared memory","300.0"
"","coordinated consensus","300.0"
"","agreement","270.0"
"228","mobile devices","9663.0"
"","context aware","5529.0"
"","mobile device","5246.0"
"","ubiquitous computing","4510.0"
"","mobile computing","4100.0"
"","mobile phones","3716.0"
"","mobile applications","3400.0"
"","pervasive computing","3400.0"
"","context awareness","2200.0"
"","mobile users","2000.0"
"229","augmented reality","9093.0"
"","virtual reality","6043.0"
"","virtual environments","4599.0"
"","virtual environment","2332.0"
"","real virtual","1300.0"
"","virtual worlds","1300.0"
"","mixed reality","1261.0"
"","reality","1066.0"
"","virtual objects","1000.0"
"","virtual space","800.0"
"230","present design","700.0"
"","mobile devices","486.0"
"","interaction design","396.0"
"","mobile phones","367.0"
"","design space","312.0"
"","design evaluation","306.0"
"","design process","268.0"
"","technologies","264.0"
"","social networking","235.0"
"","location based","221.0"
"231","adaptive hypermedia","700.0"
"","hypermedia systems","700.0"
"","spatial hypertext","600.0"
"","hypermedia","472.0"
"","web applications","455.0"
"","hypermedia applications","400.0"
"","hypermedia structures","400.0"
"","open hypermedia","400.0"
"","hypertext","369.0"
"","web application","315.0"
"232","data integration","2300.0"
"","data sources","1731.0"
"","query answering","1200.0"
"","schema matching","1200.0"
"","conjunctive queries","700.0"
"","semantic heterogeneity","700.0"
"","integration","632.0"
"","data exchange","600.0"
"","data source","600.0"
"","schema mapping","600.0"
"233","genetic algorithm","3958.0"
"","ant colony","2100.0"
"","particle swarm optimization","2100.0"
"","multi objective","1900.0"
"","genetic algorithms","1850.0"
"","local search","1700.0"
"","ant colony optimization","1500.0"
"","particle swarm","1500.0"
"","evolutionary algorithm","1477.0"
"","pareto front","1300.0"
"234","web accessibility","3400.0"
"","web browsing","1500.0"
"","accessibility","1130.0"
"","web pages","1026.0"
"","screen readers","1000.0"
"","web page","913.0"
"","screen reader","800.0"
"","visually impaired","800.0"
"","web content","624.0"
"","web site","573.0"
"235","instruction queue","800.0"
"","issue queue","800.0"
"","performance degradation","600.0"
"","instruction window","500.0"
"","load store","500.0"
"","processor performance","400.0"
"","register renaming","400.0"
"","single thread","400.0"
"","study shows","400.0"
"","performance improvement","333.0"
"236","electronic mail","2500.0"
"","email messages","700.0"
"","email","457.0"
"","mail","408.0"
"","communication system","400.0"
"","web browser","348.0"
"","email clients","300.0"
"","mail mail","300.0"
"","mash maker","300.0"
"","spam filtering","300.0"
"238","cognitive radio","2500.0"
"","physical layer","1700.0"
"","multi channel","1500.0"
"","channel assignment","1300.0"
"","channel","1078.0"
"","cross layer","1000.0"
"","interference","984.0"
"","channel access","800.0"
"","channel allocation","800.0"
"","multi hop","800.0"
"239","speech recognition","979.0"
"","multimodal interface","800.0"
"","cognitive load","600.0"
"","multimodal","563.0"
"","speech","507.0"
"","multimodal input","500.0"
"","multimodal interaction","487.0"
"","multimodal interfaces","487.0"
"","children asd","400.0"
"","children autism","400.0"
"240","multi agent","3291.0"
"","agent based","2170.0"
"","coalition formation","1400.0"
"","agent","991.0"
"","agents","912.0"
"","multi agent system","849.0"
"","intelligent agents","800.0"
"","agent system","702.0"
"","multi agent systems","699.0"
"","agent agent","600.0"
"241","group members","600.0"
"","collaborative web","400.0"
"","creativity support","400.0"
"","group awareness","400.0"
"","paper reports","400.0"
"","information sharing","333.0"
"","social networks","316.0"
"","video conferencing","300.0"
"","team members","208.0"
"","collaborative work","200.0"
"242","agnostic learning","600.0"
"","learning algorithm","556.0"
"","line learning","500.0"
"","reinforcement learning","445.0"
"","learning theory","400.0"
"","markov decision","400.0"
"","italick italic","376.0"
"","machine learning","359.0"
"","algorithm learning","300.0"
"","algorithm solves","300.0"
"243","branch prediction","2800.0"
"","branch predictor","1600.0"
"","branch predictors","1100.0"
"","branch","812.0"
"","prediction accuracy","700.0"
"","conditional branch","600.0"
"","instruction fetch","600.0"
"","instruction stream","600.0"
"","code cache","500.0"
"","basic block","400.0"
"244","expert system","6000.0"
"","expert systems","4608.0"
"","artificial intelligence","2986.0"
"","rule based","2200.0"
"","knowledge based","2081.0"
"","expert","1630.0"
"","knowledge base","1598.0"
"","knowledge acquisition","1500.0"
"","knowledge representation","753.0"
"","knowledge based system","600.0"
"245","computing center","1083.0"
"","academic computing","700.0"
"","user services","617.0"
"","academic institutions","600.0"
"","computing centers","600.0"
"","computer center","421.0"
"","computer science","421.0"
"","computer education","400.0"
"","amp bull","399.0"
"","center began","300.0"
"246","italicn italic","15009.0"
"","subscrpt italic","10700.0"
"","italicsubscrpt subscrpt","8600.0"
"","italic italic","7847.0"
"","italick italic","7396.0"
"","italic","7054.0"
"","italics italic","6600.0"
"","italic subscrpt","6300.0"
"","italicp italic","5691.0"
"","italicx italic","5100.0"
"247","ken wilson","500.0"
"","benchmark suite","300.0"
"","call center","300.0"
"","living lab","300.0"
"","media data","300.0"
"","periodic broadcast","300.0"
"","server performance","300.0"
"","system called","300.0"
"","system resources","300.0"
"","benchmark","212.0"
"248","simulation approach","400.0"
"","simulation model","364.0"
"","based model","300.0"
"","model predict","300.0"
"","model simulation","300.0"
"","simulation study","300.0"
"","time simulation","300.0"
"","modeling simulation","288.0"
"","computer simulation","252.0"
"","simulation program","250.0"
"249","data management","1188.0"
"","data base","1187.0"
"","data base management","1000.0"
"","database research","900.0"
"","database management systems","700.0"
"","event processing","586.0"
"","database management","540.0"
"","rfid data","400.0"
"","database systems","371.0"
"","data bases","352.0"
